dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Aminer,ASAP,5,4,0.2,1046.5002,1033.8923,10.913,1.6981,24718.0,122370.0,17120546.0,121245.0,1004502.0
Aminer,ASAP,5,4,0.4,1061.0305,1043.3142,16.0011,4.3892,97469.0,122370.0,17120546.0,107439.0,399009.0
Aminer,ASAP,5,4,0.6,1043.9001,1024.2427,18.0543,4.7788,145509.0,122370.0,17120546.0,71327.0,119166.0
Aminer,ASAP,5,4,0.8,1049.3369,1030.6927,16.9847,2.5789,148340.0,122370.0,17120546.0,22479.0,22888.0
Aminer,ASAP,5,4,1.0,1080.9102,1063.5555,15.6068,0.5189,127127.0,122370.0,17120546.0,4218.0,4328.0
Aminer,ASAP,5,5,0.0,1047.8144,1043.0041,3.136,0.0,0.0,67682.0,17120546.0,67682.0,17120546.0
Aminer,ASAP,5,5,0.2,1040.0824,1027.9276,10.5321,1.5068,17491.0,67682.0,17120546.0,66908.0,579347.0
Aminer,ASAP,5,5,0.4,1053.8708,1038.395,13.7666,3.1733,57544.0,67682.0,17120546.0,57808.0,217071.0
Aminer,ASAP,5,5,0.6,1052.2407,1035.4905,14.9753,3.2221,81292.0,67682.0,17120546.0,35444.0,62512.0
Aminer,ASAP,5,5,0.8,1052.713,1037.0652,13.9267,1.4278,80098.0,67682.0,17120546.0,8897.0,10921.0
Aminer,ASAP,5,5,1.0,1053.7358,1035.79,16.176,0.2408,69150.0,67682.0,17120546.0,1550.0,2190.0
Aminer,ASAP,5,6,0.0,1036.7192,1031.9875,3.1068,0.0,0.0,43218.0,17120546.0,43218.0,17120546.0
Aminer,ASAP,5,6,0.2,1047.6092,1035.5215,10.3398,1.2985,13629.0,43218.0,17120546.0,42466.0,378592.0
Aminer,ASAP,5,6,0.4,1100.8562,1086.5668,12.6484,2.4688,38987.0,43218.0,17120546.0,35779.0,134752.0
Aminer,ASAP,5,6,0.6,1090.175,1074.5725,13.8822,2.5544,52260.0,43218.0,17120546.0,20340.0,37295.0
Aminer,ASAP,5,6,0.8,1049.6279,1035.5181,12.4749,0.8737,49638.0,43218.0,17120546.0,4453.0,6217.0
Aminer,ASAP,5,6,1.0,1102.0188,1088.1399,12.1661,0.1503,43750.0,43218.0,17120546.0,794.0,1371.0
Aminer,ASAP,5,7,0.0,1042.0941,1037.2468,3.2069,0.0,0.0,30090.0,17120546.0,30090.0,17120546.0
Aminer,ASAP,5,7,0.2,1048.2545,1036.5225,10.082,1.1802,10719.0,30090.0,17120546.0,29607.0,270137.0
Aminer,ASAP,5,7,0.4,1053.9547,1040.4352,11.8053,2.0445,28514.0,30090.0,17120546.0,24226.0,93707.0
Aminer,ASAP,5,7,0.6,1053.4783,1039.4226,12.3587,1.83,36148.0,30090.0,17120546.0,13270.0,25031.0
Aminer,ASAP,5,7,0.8,1053.4331,1040.2295,11.4875,0.5803,33764.0,30090.0,17120546.0,2685.0,4217.0
Aminer,ASAP,5,7,1.0,1046.4935,1033.6097,11.2875,0.0882,30327.0,30090.0,17120546.0,490.0,1029.0
Aminer,ASAP,6,3,0.0,1036.2227,1031.4342,3.0925,0.0,0.0,176521.0,17120546.0,176521.0,17120546.0
Aminer,ASAP,6,3,0.2,1044.7767,1031.9987,11.1205,1.7943,29556.0,176521.0,17120546.0,175346.0,1277432.0
Aminer,ASAP,6,3,0.4,1059.3985,1040.1462,17.48,5.2129,129613.0,176521.0,17120546.0,159441.0,514559.0
Aminer,ASAP,6,3,0.6,1055.168,1032.9389,20.525,5.9615,199771.0,176521.0,17120546.0,118160.0,160563.0
Aminer,ASAP,6,3,0.8,1077.5888,1055.9705,19.8849,3.9769,219695.0,176521.0,17120546.0,48748.0,35046.0
Aminer,ASAP,6,3,1.0,1053.5652,1035.3139,16.538,0.7849,186505.0,176521.0,17120546.0,9484.0,5628.0
Aminer,ASAP,6,4,0.0,1037.6169,1032.8264,3.1168,0.0,0.0,78354.0,17120546.0,78354.0,17120546.0
Aminer,ASAP,6,4,0.2,1050.2468,1037.6767,10.8937,1.4462,18525.0,78354.0,17120546.0,77627.0,598228.0
Aminer,ASAP,6,4,0.4,1057.3235,1041.4264,14.197,3.3581,61741.0,78354.0,17120546.0,69107.0,221598.0
Aminer,ASAP,6,4,0.6,1062.05,1044.9031,15.4756,3.5342,91178.0,78354.0,17120546.0,46922.0,65206.0
Aminer,ASAP,6,4,0.8,1046.1815,1030.0625,14.517,1.9729,95309.0,78354.0,17120546.0,15668.0,12888.0
Aminer,ASAP,6,4,1.0,1093.5602,1078.9496,12.9329,0.2832,80827.0,78354.0,17120546.0,2079.0,1820.0
Aminer,ASAP,6,5,0.0,1041.4661,1036.63,3.1475,0.0,0.0,45351.0,17120546.0,45351.0,17120546.0
Aminer,ASAP,6,5,0.2,1089.7037,1077.7466,10.2963,1.2223,13162.0,45351.0,17120546.0,44831.0,349490.0
Aminer,ASAP,6,5,0.4,1049.468,1035.2336,12.5781,2.4959,37951.0,45351.0,17120546.0,39067.0,122773.0
Aminer,ASAP,6,5,0.6,1047.9452,1032.974,13.3093,2.5506,53224.0,45351.0,17120546.0,24926.0,35467.0
Aminer,ASAP,6,5,0.8,1050.9738,1037.0408,12.2828,1.1107,53843.0,45351.0,17120546.0,6475.0,6597.0
Aminer,ASAP,6,5,1.0,1037.1635,1023.8496,11.6777,0.139,46122.0,45351.0,17120546.0,825.0,1036.0
Aminer,ASAP,6,6,0.0,1030.8798,1026.2747,3.0091,0.0,0.0,30054.0,17120546.0,30054.0,17120546.0
Aminer,ASAP,6,6,0.2,1047.847,1035.5363,10.6398,1.1584,10523.0,30054.0,17120546.0,29501.0,235313.0
